spike_rank,iter,kl,sample,group,pool_slot,dataset_id,initial_pool_dataset_id,log_path
3,450,0.0422,46,5,16942,296907,296907,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,47,5,16942,296907,296907,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,48,6,38047,14009,14009,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,49,6,38047,14009,14009,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,50,6,38047,14009,14009,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,51,6,38047,14009,14009,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,52,6,38047,14009,14009,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,53,6,38047,14009,14009,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,54,6,38047,14009,14009,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,55,6,38047,14009,14009,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,56,7,149,352559,352558,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,57,7,149,352559,352558,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,58,7,149,352559,352558,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,59,7,149,352559,352558,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,60,7,149,352559,352558,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,61,7,149,352559,352558,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,62,7,149,352559,352558,wandb/run-20260630_155831-2gcw0mpa/files/output.log
3,450,0.0422,63,7,149,352559,352558,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,0,0,24020,50109,50109,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,1,0,24020,50109,50109,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,2,0,24020,50109,50109,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,3,0,24020,50109,50109,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,4,0,24020,50109,50109,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,5,0,24020,50109,50109,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,6,0,24020,50109,50109,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,7,0,24020,50109,50109,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,8,1,21284,346837,346837,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,9,1,21284,346837,346837,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,10,1,21284,346837,346837,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,11,1,21284,346837,346837,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,12,1,21284,346837,346837,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,13,1,21284,346837,346837,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,14,1,21284,346837,346837,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,15,1,21284,346837,346837,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,16,2,577,371850,371850,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,17,2,577,371850,371850,wandb/run-20260630_155831-2gcw0mpa/files/output.log
4,651,0.0416,18,2,577,371850,371850,wandb/run-20260630_155831-2gcw0mpa/files/output.log
